BASETEXTO_mean_list,BASETEXTO_std_list,RANDOMPATCH_mean_list,RANDOMPATCH_std_list,NNPROJ_mean_list,NNPROJ_std_list,AFFINE_mean_list,AFFINE_std_list
"[0.09712761611344464, 0.033892012617569675, 0.00980774358920082, 0.22481580735593462]","[0.012157218141352302, 0.00268167139077821, 0.0008204290274458237, 0.006186425650667281]","[0.0037061645034489263, 0.0063437256177874355, 0.0039538475564098365, 0.220888144118927]","[0.005994741568726644, 0.0014734546747460953, 0.0006450034672421534, 0.005244624605407465]","[0.09268944416202043, 0.05294169153634563, 0.016719235659529198, 0.23040762202313686]","[0.011310219908917458, 0.0090330078092044, 0.002401263776079754, 0.006210995601509108]","[0.07715516551133057, 0.03800127790312886, 0.009479517530063122, 0.2258003827425616]","[0.0072612797412043495, 0.0032931471559309294, 0.0007079555217523277, 0.004981745986612008]"
"[0.042264642564942584, 0.06665986285374974, 0.1373365138871034, 0.02290820729738013]","[0.003851989833516012, 0.00610987542128169, 0.015217556947244667, 0.0027136170912690897]","[0.00497243213932406, 0.06982215481753845, 0.13347939585877383, 0.020110285336719224]","[0.0007378316958128701, 0.008233174873089371, 0.010629462811206641, 0.0020849073616934412]","[0.024837876760061085, 0.08735051113539719, 0.1439959616177113, 0.014258815262789586]","[0.001733156110778047, 0.006087040413547758, 0.012328991702298273, 0.001317129836529454]","[0.026887325826908403, 0.06860223011542672, 0.13339601081994937, 0.02116220170245333]","[0.0027020807125531965, 0.004404439743091639, 0.010705074900930478, 0.002349183229371881]"
"[0.06178105997218876, 0.040482703228040984, 0.1955861522847981, 0.08867188097736628]","[0.0025293947853271396, 0.001638464895390635, 0.006500570416818551, 0.0030145708661539245]","[0.007349293690498071, 0.04319521224726571, 0.19493741559935673, 0.08849615568180859]","[0.0010476425212951298, 0.0019727771780330516, 0.009351114172168643, 0.003775408418489645]","[0.04174686764707424, 0.08682263508060471, 0.2051813248162894, 0.08299407035484582]","[0.0046369926079812464, 0.004553123657943195, 0.010767563913710292, 0.002216844802259894]","[0.03770417820795855, 0.04390130385227114, 0.19150747370072113, 0.08720947317643012]","[0.0025686237403899493, 0.00101379066492923, 0.008865351382584034, 0.0030022932130880937]"
"[0.06187610548185133, 0.28797490382564706, 0.22495686785927008, 0.13611744990140337]","[0.003876074525518879, 0.004039690944560556, 0.008917696868762459, 0.011711475465771304]","[0.04678806606025384, 0.28413776156481585, 0.22004571355631333, 0.14220365994122613]","[0.0007850577618819396, 0.003966068141176308, 0.009736440537701197, 0.010468202953949622]","[0.06177508181132822, 0.29728134843447135, 0.21794177248432214, 0.1451326816136783]","[0.003662627702063176, 0.008167118316447725, 0.011363786084038109, 0.011459115506441141]","[0.06027383389119771, 0.28633179691185556, 0.2186642512465451, 0.1332523234379192]","[0.001727506547156822, 0.003763863190171007, 0.011260881887268908, 0.016199056092697665]"
"[0.15500281366169727, 0.5777652137550273, 0.40194743605919225, 0.32626846702390655]","[0.010356154025472252, 0.00486509032645825, 0.010965210699976797, 0.01755568988873307]","[0.11249259657927935, 0.5837872523073705, 0.40326122327247216, 0.3363299710319959]","[0.002120809109632579, 0.003362876484699657, 0.00893317499650747, 0.015244159334158333]","[0.14754018495333376, 0.5944185686939203, 0.4259415950525941, 0.32615699132381326]","[0.008674935970069337, 0.009576962681333914, 0.006218261708832762, 0.020094988449861628]","[0.14310669495414144, 0.580411886606961, 0.409868057440696, 0.3248796347153575]","[0.010626574241938726, 0.009598204870562357, 0.008842607716558816, 0.011301055440325555]"
"[0.057665418794687825, 0.2959886872301815, 0.28389423647237055, 0.10253352092543673]","[0.0016602130423646595, 0.015992290155461976, 0.01297801846509176, 0.0079308850026777]","[0.040688844799077535, 0.29371134526551057, 0.2771535180201684, 0.106635796632173]","[0.0011341800202073096, 0.01990743874948238, 0.014042476009255296, 0.006527494750232924]","[0.06009789957313547, 0.3285286667889419, 0.2593586806179084, 0.12007854242969043]","[0.0026469258417485745, 0.010379696370730086, 0.019738104735515915, 0.010889398157277741]","[0.05731987033190624, 0.29264098667740157, 0.2777907895387751, 0.1019871539295856]","[0.0028755397082820713, 0.011760688268262588, 0.020428597520817212, 0.010731059978706754]"
"[0.07580906890733177, 0.6544653494555759, 0.6817636902381058, 0.34556489421094233]","[0.0032652027469438996, 0.01408662236035883, 0.023063377887285706, 0.011599372709483765]","[0.0057146718878060805, 0.6537780914847392, 0.6773102411063846, 0.31810543239494693]","[0.0008458819850157776, 0.015212155298106359, 0.016785449934096107, 0.015591424288194364]","[0.031341598366269374, 0.6705743001507509, 0.7038749996347289, 0.34142895772525517]","[0.002909810434807476, 0.015594345189813424, 0.022133572726927505, 0.010545277955234156]","[0.028116735749173904, 0.6591442159609437, 0.6665460337448008, 0.3410156343751253]","[0.0016141986987332924, 0.014898594799923481, 0.019237221902978753, 0.021104965753521464]"
"[0.07646542512219193, 0.02488948707829642, 0.160537849000581, 0.13582112204978886]","[0.004168322678532486, 0.0015949463410191355, 0.006029173124359303, 0.01430739874884719]","[0.00784863343063415, 0.013783346444372045, 0.16059085599328468, 0.14448547660720656]","[0.0016447356706765443, 0.0009190441232482384, 0.007583052656396494, 0.012525531805237787]","[0.05973656653577688, 0.0459893751920436, 0.16436391428193406, 0.13568254984202996]","[0.007618020628775651, 0.0028303384685148575, 0.011402674805142541, 0.015368342372975317]","[0.05326835382778143, 0.026015414795175155, 0.16043956974461251, 0.12530945778249916]","[0.00704710146205581, 0.0013547002461547445, 0.011460526431439326, 0.013493094110890218]"
